created_at,id,text,favorite_count,retweet_count,user_id_str,user_name,user_screen_name,user_location,user_description,user_friends_count,user_followers_count,hashtags,mentions
Sun Sep 01 20:00:47 +0000 2019,1168252381605310464,"Rep Omar unveils her own new immigration plan. Calls for ending ICE and taking in more refugees

When will this mad… https://t.co/KZMALL4XFW",12,23,1478430702,LazyMeatball,LazyMeatball,in your spaghetti,"Help spread our articles, we are censored!

 #MAGA FB @RudyGiuliani @genflynn @smalltownandrew @KristySwansonXO @ScottBaio @atensnut",58663,66802,,ohboywhatashot
Sun Sep 01 23:40:47 +0000 2019,1168307746556411905,@GRH81019347 @BelindaJones68 @9NewsAUS @jekearsley @ScottMorrisonMP Libs are spending our money advertising and pro… https://t.co/hw5E3ZlDRV,16,6,18710072,💧 veritas liberabit vos 🌎,dynamat,Australia,Live and let live. Welcome the day where our governments represent the interests of the electorate over vested interests and corporate greed. Democracy?,3573,1502,VotePPC,
Sun Sep 01 21:39:49 +0000 2019,1168277303958417408,"Liberal argument against refugees: “If we let these people in, we’ll have the far right in government.” Hunt’s resp… https://t.co/MNShUDfGZt",9,4,309007909,Bonnie Evans-Hills,EvansHills,"England, the world!","priest, peace & interfaith activist, feminist - doesn't agree w every retweet; author https://www.peterlang.com/view/product/29903",2181,2547,EU,RealthingUlli|ghevgss
Sun Sep 01 21:27:19 +0000 2019,1168274158007926784,“The family have not been truthful in visa applications...evidence suggested they came to Australia in 2012 and 201… https://t.co/GRlY2cNfKb,5,2,168376502,Siobhan Heanue,siobhanheanue,"Townsville, Queensland",Journalist at Australia’s @ABCNews. Former foreign correspondent reporting from Afghanistan to Zimbabwe et al. Now on the road in the Sunshine State.,3403,19922,Refugees,
Sun Sep 01 19:53:56 +0000 2019,1168250657549082624,"@KellyLorenczPPC @MaximeBernier @wakeup_patriot @GtoPmd As Official Opposition Critic for Immigration, Refugees &amp; C… https://t.co/LS7vUQkRMT",3,1,1008103433822351360,HaveWeAllGoneMad,HaveWeAllGoneM1,,"Proud of my country, not my government Enough of the hypocrisy with the Liberal/Left in Canada! Time to take Canada back. A storm is brewing 🚫 PPC",16685,18572,,Change|ThangamMP|foeeurope
Sun Sep 01 21:56:48 +0000 2019,1168281576884658176,"For the Last Time, Here's the Real Link Between Immigration and Crime https://t.co/g6JjewVBQB 
Natural born citizen… https://t.co/1MZ8EXUuod",1,1,1009475893125926912,Nita GREAT DAY FOR AMERICA retired RRT,NitaWeitzel,South Carolina remove Graham,"Protect the environment
1st amendment rocks
BLM. WEAR A MASK. LOV
Putin'sGOP",4952,3241,,
Sun Sep 01 23:18:41 +0000 2019,1168302182786981888,@Nowivedoneit @realDonaldTrump Can't do the latter. He stole the FEMA $ for his useless border wall stunt. I live o… https://t.co/3o7Oz18lWe,3,1,241559936,Attila the Blond ⚖🌮🍷,attilatheblond,Up a tree watching the show,"“The totally convinced and the totally stupid have too much in common for the resemblance to be accidental.” ~Robert Anton Wilson
Marketers will be blocked",2100,1750,,
Sun Sep 01 20:05:58 +0000 2019,1168253687501926402,"""Our country is being inundated with 100,000 Latin Americans every month. That’s in addition to the thousands of re… https://t.co/ViFuZJPMlV",3,1,952911386874646530,Andrew Smith,AndrewSmithClub,,"Author of the forthcoming ""Cuckservatism Conserved: How Jared Kushner and the GOP Cuckstablishment Betrayed Conservatives and Sabotaged the MAGA Agenda.""",748,651,QueensSpeech,JamesMelville
Sun Sep 01 22:06:50 +0000 2019,1168284103004717056,On @TheTodayShow @PeterDutton_MP proudly sprouts no deaths at sea on his watch but fails to tell us he has blood on… https://t.co/f6esx8jwBg,1,1,1106028427738472448,JoJoChinook,ChinookJo,Australia,"Mother, Grandmother, Humanitarian, Refugee Advocate and Syrian Activist. Here to protect the lives and rights of The World's Children.",1044,734,DACA|Immigration|MRAYD,
Sun Sep 01 20:04:32 +0000 2019,1168253326452056069,RT @PhilKurtz3: @Holly1ForTrump Here is good OP ED about how immigrants and refugees used to come to this country till the progressive poli…,0,0,823616163624222720,Woodman,Woodman775,"Arkansas, USA",#CONSTITUTION #MAGA #2A #Conservative #Patriot #Veteran #KAG2020 Back in Twitter jail. I’ll follow back all Patriots as soon as possible.,6212,6059,,
Tue Sep 10 21:08:29 +0000 2019,1171530910707023872,"@EricMMatheny @Jamierodr14 Ironically, back then an ""undocumented"" (ILLEGAL) immigrant was seen as an enemy to the… https://t.co/fQ8kgq14Kj",25,10,24213057,Rich Meng,fitofthelordof,,,203,235,QueensSpeech,JamesMelville
Tue Sep 10 23:18:56 +0000 2019,1171563739646087168,"問題の表層をなぞっただけの薄っぺらい記事だな。結局は入管側の主張をベースに書かれてる。
常勤の医師がいない問題なんてもう何年も前から支援団体が指摘してる事で、入管施設で死者が出てることも初めてじゃないでしょ。
これが本当にジャーナ… https://t.co/prTKWrQhe4",11,8,778220820476735491,牧野アンドレ @イラク🇮🇶で医療支援,andre_makino,"Erbil, Iraq",🇩🇪×🇯🇵 イラク・アルビル在住。早稲田(小野梓記念学術賞受賞)/ギリシャの島やキャンプで難民支援➡️ヨルダンのキャンプでシリア難民の生計向上支援・教育支援➡️修士🇬🇧➡️イラクで避難民等の医療支援 関心:難民/移民/国際政治/ハーフ/多様性/クルド/ケルト音楽 など。Views Are My Own,298,4224,,
Tue Sep 10 23:36:51 +0000 2019,1171568246828367872,"「難民申請について…帰国を避けるために申請を繰り返す、いわゆる「偽装申請」が多いという見方を示した。」

批判あいつぐ外国人の長期収容。入管庁長官が会見で語った解決方針とは https://t.co/5DMFTzRBfI @rekopekopakoより",4,7,832768101976416256,Tokyo_umare🇯🇵,tokyo_umare,,DM不可の安倍元総理ファン♡日本大好き HSPぎみユルネトウヨのひとり言(о´∀`о)。右は普通の日本人を信条に真実を勉強中。男系絶対！戦争反対。憲法改正願う。スパイ防止法必須。 差別反対！Anti CCP! 反日サヨクを許さない！維新・桜井・日本第一党不支持。神社大好き⛩お絵かき専用アカ→@umarechan,3913,4963,Business|FromTheLeft|Immigration|Refugees,TheEconomist
Tue Sep 10 22:15:02 +0000 2019,1171547656658804737,批判あいつぐ外国人の長期収容。入管庁長官が会見で語った解決方針とは https://t.co/3IkPg1N4IV,7,3,752770992955469824,BuzzFeed Japan News,BFJNews,,BuzzFeed Japan Newsは、社会にポジティブなインパクトをもたらすニュースをわかりやすくお伝えしています。話題のニュースの深掘り、ファクトチェック、マイノリティに関する話題などを「Reporting to you」の理念のもと、あなたに届けるために発信しています。情報提供はDMへお願いします📮,27,73765,,
Tue Sep 10 20:14:45 +0000 2019,1171517386060517376,"IRCC’s Response to Hurricane Dorian

There are no special immigration program measures in effect for individuals af… https://t.co/gyEJHenoom",0,2,413529865,Tamara M-K,TTRRMK,"Ottawa, ON","Canadian Immigration junkie/lawyer,  traveler & consumer of news of all sorts - Views are my own - Tweets/Retweets do not constitute endorsement or advice",681,1923,,
Tue Sep 10 23:43:48 +0000 2019,1171569996771647489,"1/ #VotePPC The Canadian federal election will get underway on Wednesday, September 11, 2019. Let's start to review… https://t.co/kxG4v506gl",2,2,866725093,"Geoffrey Young - a ""wonderful"" sinner",GeoffreyJYoung,Vancouver,"observe, express & #act! focus #result, create #opportunity, innovate realization, discover potential! #maximize, #achieve & #impact!",1093,1276,VotePPC,
Tue Sep 10 23:40:11 +0000 2019,1171569085613633536,"@cravecreative 1/ #VotePPC The Canadian federal election will get underway on Wednesday, September 11, 2019. Let's… https://t.co/mN4ZpQgYXN",3,2,866725093,"Geoffrey Young - a ""wonderful"" sinner",GeoffreyJYoung,Vancouver,"observe, express & #act! focus #result, create #opportunity, innovate realization, discover potential! #maximize, #achieve & #impact!",1093,1276,VotePPC,cravecreative
Tue Sep 10 22:18:02 +0000 2019,1171548410928861186,批判あいつぐ外国人の長期収容。入管庁長官が会見で語った解決方針とは https://t.co/TVakASshFU https://t.co/4EI1Xby0GG,0,1,200690231,脱原発の日実行委員会,datugennohi,地球,「脱原発の日実行委員会」の活動をお知らせします。,3269,13251,,
Tue Sep 10 23:07:01 +0000 2019,1171560739913551872,"Talking about policy changes,  refugees, #DACA status, direct action and more. #MRAYD #Immigration https://t.co/6sOInmmy3P",1,1,57412452,Metro Richmond Young Dems,MetroRichmondYD,"Richmond, VA & Area",MRAYD supports & elects Democrats and increases the role of young people in local Democratic committees & DPVA.,474,1492,DACA|Immigration|MRAYD,
Tue Sep 10 21:36:35 +0000 2019,1171537981884133376,No special IRCC programs related to Hurricane Dorian #cdnimm https://t.co/yUesYTkebA,0,1,3039972920,McCrea Immigration,McCreaImmLaw,"Vancouver, BC, Canada","Updates, news and views on #cdnimm from one of Canada's leading immigration law firms. Tweets are obviously not legal advice.",1105,2121,,realDonaldTrump
Thu Sep 19 23:54:56 +0000 2019,1174834290397470721,"Paul McCartney Takes Aim At Donald Trump: ‘We’ve Got A Mad Captain Sailing This Boat’

#MadCaptain #PaulMcCartney… https://t.co/Mc2U3QOQY9",227,92,14383128,(((Joel Leyden))),joelleyden,Israel New York,"Father, Entrepreneur, Journalist, Intl Media, Crisis Comm, Social Media, Public Affairs, Branding, Web Marketing, SEO, Reputation PR, Skier, IDF Vet.
#Veterans",8670,4406,,zegmaar_LydeLa
Thu Sep 19 18:46:29 +0000 2019,1174756666144956416,It’s time to stand with all immigrants and refugees. We must repeal section 1325 of the Immigration and Nationality… https://t.co/lrVnDIkNkR,18,10,1119797627170820099,Kina Collins,KinaCollins__,"Chicago, IL",Executive Director of @NoGunViolence. GOTV is my love language. Girl from the West Side. She/Her. #BlackLivesMatter,455,4120,,
Thu Sep 19 20:39:59 +0000 2019,1174785226662432770,"If you're ever doubting @realDonaldTrump on #Immigration, just remember: Obama wanted to admit 110,000 unvetted Mid… https://t.co/1qKnL3inFZ",13,6,18922882,J. Gelling,j_gelling,New York,"Lawyer and author, nationalist populist patriot, #MAGA #KAG #Trump #2A Tweeting all things politics, current events and other dangerous games of chance.",28288,30486,,
Thu Sep 19 20:20:26 +0000 2019,1174780307159113729,5 churches doing cool things to help #newcomers https://t.co/TYfh8S3uoK by @kateannespencer #refugees #immigration… https://t.co/yCvJ0kGCDm,2,2,110442118,Broadview Magazine,BroadviewMag,Canada,"Broadview features stories and perspectives on spirituality, justice and ethical living.",5085,8927,,realDonaldTrump
Thu Sep 19 23:18:04 +0000 2019,1174825012609634304,Reality check: Scheer’s claim about refugees jumping the queue is false https://t.co/akterZINNY,2,2,39609732,Jeff Gauvin,JeffersonObama,Điện Biên Phu,"Political Aficionado & Malfaisant. Art of War Wonk. Red Wine Bon Vivant. Investing, Polls, Econometric Data, Elections. #Biden 🍷🍷",9049,28991,,
Thu Sep 19 20:22:54 +0000 2019,1174780927249174530,Immigration was not a major issue in public consciousness until the refugee crisis. Corporate media gave a platform… https://t.co/msbISa6svO,2,1,1026201375129194496,Steven McCallum,SMcCallum93,"Glasgow, Scotland","🏴󠁧󠁢󠁳󠁣󠁴󠁿 | UoG 👨🏼‍🎓 | Sociology MA (Hons) 🌐 | Human Rights; Social, Economic and Racial Justice ✊🏼 | Internationalist 🌍 | Books 📚 | 🖤",3070,425,,
Thu Sep 19 21:40:17 +0000 2019,1174800402941980672,"Candidate @JulianCastro focuses on the human impact of #climatechange, wants to alter immigration law to include “c… https://t.co/haxVw85X02",6,1,2892886959,Cristine Pedersen,cristinemariep,"Portland, OR | Washington, DC","Marine turned diplomat | @TrumanProject | @trumanapp | @pattillmanfnd | pug momma | comedienne @ASAP_vets  
Dignity & security for all, please.",2037,2000,,FraserNelson
Thu Sep 19 21:32:44 +0000 2019,1174798504134397962,"https://t.co/3hLy6YfQua

@KenCuccinelli  only Department of Homeland Security secretary has the ability to disclose… https://t.co/TFBTDEOcMk",1,1,1104592557504425984,Bruce,Kebru13,,"Asylum for @basmanasser_🇫🇷
pls support @Retaj95863116🇾🇪 @Warda12112002🇵🇰🇧🇩@AxFLBxGsSjFoh7k🇸🇾 @UmmaraTabbsum🇵🇰 @John_Arash2345🇮🇷 @maya24052097🇾🇪",412,320,,
Thu Sep 19 22:54:33 +0000 2019,1174819091221286916,"#MigrantCrisis &amp; #Crime (Sept 19, 2019 EDN): Most fleeing to #Europe are  ‘not refugees’, #EU official says –… https://t.co/Tii4cyDQHi",0,1,144737971,Infinite Unknown,SecretNews,,#BreakingNews; #Politics; #Economics; #Science; #Technology; #Health; #Environment; #Business; #Society; #Conspiracies; #NWO; #Fukushima;#Geoengineering;#WTF,1445,1456,,
Thu Sep 19 19:42:22 +0000 2019,1174770727544733697,"RT @CitImmCanada: If you lose your permanent resident card outside Canada, you must apply for a permanent resident travel document in order…",0,0,816068904044769280,MCN Canada Immigration Consulting Inc.,mcn_canada,"Edmonton, Alberta",Regulated Canadian Immigration Consultant,84,267,,
Sat Sep 28 21:28:06 +0000 2019,1178058827658354693,"WATCH: @RachelBros, #GlobalCitizen ambassador and star of 'The Marvelous Mrs. Maisel', discusses her work supportin… https://t.co/vH97YGMWMc",70,20,2836421,MSNBC,MSNBC,,"#MSNBC2020: The place for in-depth analysis, political commentary and diverse perspectives. Home of @MSNBCDaily.",737,3887414,,tlshields85
Sat Sep 28 23:30:01 +0000 2019,1178089507930939400,"""Without foreign language fluency, an officer is unlikely to know whether a post needs additional review,"" says Bre… https://t.co/YyIMva27tv",20,12,20707070,Brennan Center,BrennanCenter,New York & Washington D.C.,"We are a nonpartisan law and policy institute working to reform, revitalize, and defend our country’s systems of democracy and justice.",3373,167246,,
Sat Sep 28 22:01:13 +0000 2019,1178067161383878656,"The Trump Administration has slashed the American refugee program by almost half.
These limits on resettlement are… https://t.co/JYhKBYHG4n",11,5,878006456548810752,Lisa Ring,LisaRingGA01,"Savannah, GA","Democratic Chair of GA-01, strong Progressive #StandwithLisa #LRFC2020 #M4A #ClimateAction #Resister #Justice #nocorporatemoney",5126,8259,,
Sat Sep 28 19:54:30 +0000 2019,1178035271910055936,St. Michael's Catholic Community in Calgary will be live-streaming a federal election debate moderated by political… https://t.co/C2YNIQO1RT,5,4,4870632564,rightnowhq,RightNowHQ,Canada,RightNow is a Canadian not-for-profit committed to nominating and electing #prolife candidates willing to vote in favour of common-sense legislation. #cdnpoli,1854,1933,,
Sat Sep 28 21:20:22 +0000 2019,1178056882893705216,Protect Canadian borders so we can protect genuine refugees. Only the #PeoplesParty  has a plan to secure our borde… https://t.co/ULAAoU2vOj,4,4,1012061774638706694,Learning Portal,PortalLearning,,🇨🇦✝️❤️Facts matter. Feelings matter but aren’t facts. Truth is not always politically correct. Freedom is worth fighting for. Jesus is LORD.,1575,1262,,
Sat Sep 28 22:13:02 +0000 2019,1178070137745891330,Turning our backs on refugees defies the human rights our nation claims to uphold. Our immigration system must be r… https://t.co/c6DtPdQw8G,6,4,42980426,FIRM Action,FIRM_Action,Across the United States,FIRM Action is a national effort of individuals & grassroots orgs to build support for humane comprehensive immigration reform. Check out @re4mimmigration.,3622,31704,,
Sat Sep 28 23:38:10 +0000 2019,1178091562171019264,"totally racist screw ups!

https://t.co/7qJArh4n9b",1,2,174741958,Jacqueline,AronzJacqueline,Kentuckiana,"LOVE OUR NEW PRES & VP!!! WADO!
DAMN PROUD DEMOCRAT AND AMERICAN!!!
#Teampelosi
#Biden2020
Unitarian, large family, love nature
Prefer animals 2 people🐾🐾",8043,8308,,
Sat Sep 28 23:09:00 +0000 2019,1178084219614060544,"Translation websites themselves, like Google Translate, say they shouldn't replace human translators. But the U.S.… https://t.co/vdqbPmx4nJ",1,1,283880734,Brad Streicher,bradrstreicher,"Austin, TX","Investigative reporter @kvue. Proud @USC grad. Big fan of public records, outdoor adventures and talking about California. Send tips to bstreicher@kvue.com.",793,1718,,
Sat Sep 28 22:14:06 +0000 2019,1178070404147007489,"@JoelAltona @brucerossbrc I told him our government was cruel, that refugees should be given permanent protection n… https://t.co/N3PDgRPSfA",1,1,3622601179,"Ju Avril, Crowdfund #reclaimthenews",reclaimthenews,"Sydney, New South Wales",http://chuffed.org/project/fund-r… Doing something tangible for change. History grad. Pro dogs.Anti RWNJs. Concerned Citizen. Owner Temples&Markets online shop.,3119,2488,immigrants|refugees,
Sat Sep 28 22:26:34 +0000 2019,1178073541524115456,"Rachel Brosnahan: Venezuelan crisis isn't about politics.: Rachel Brosnahan, Global Citizen Ambassador and star of… https://t.co/XVDGgOhPs1",0,1,48470839,𝓟𝓪𝓽𝓻𝓲𝓬𝓴,cahulaan,"Arizona, USA",🌵 🌊  🇺🇸 #TheResistance #VoteBlue #BidenHarris2020 #BlackLivesMatter #MeToo 𝔼𝕝𝕖𝕔𝕥𝕚𝕠𝕟𝕤 𝕙𝕒𝕧𝕖 𝕔𝕠𝕟𝕤𝕖𝕢𝕦𝕖𝕟𝕔𝕖𝕤 Welcome Back America!! 🇺🇸,15983,16648,,
Sun Sep 01 20:00:47 +0000 2019,1168252381605310464,"Rep Omar unveils her own new immigration plan. Calls for ending ICE and taking in more refugees

When will this mad… https://t.co/KZMALL4XFW",12,23,1478430702,LazyMeatball,LazyMeatball,in your spaghetti,"Help spread our articles, we are censored!

 #MAGA FB @RudyGiuliani @genflynn @smalltownandrew @KristySwansonXO @ScottBaio @atensnut",58663,66802,,ohboywhatashot
Sun Sep 01 23:40:47 +0000 2019,1168307746556411905,@GRH81019347 @BelindaJones68 @9NewsAUS @jekearsley @ScottMorrisonMP Libs are spending our money advertising and pro… https://t.co/hw5E3ZlDRV,16,6,18710072,💧 veritas liberabit vos 🌎,dynamat,Australia,Live and let live. Welcome the day where our governments represent the interests of the electorate over vested interests and corporate greed. Democracy?,3573,1502,VotePPC,
Sun Sep 01 21:39:49 +0000 2019,1168277303958417408,"Liberal argument against refugees: “If we let these people in, we’ll have the far right in government.” Hunt’s resp… https://t.co/MNShUDfGZt",9,4,309007909,Bonnie Evans-Hills,EvansHills,"England, the world!","priest, peace & interfaith activist, feminist - doesn't agree w every retweet; author https://www.peterlang.com/view/product/29903",2181,2547,EU,RealthingUlli|ghevgss
Sun Sep 01 21:27:19 +0000 2019,1168274158007926784,“The family have not been truthful in visa applications...evidence suggested they came to Australia in 2012 and 201… https://t.co/GRlY2cNfKb,5,2,168376502,Siobhan Heanue,siobhanheanue,"Townsville, Queensland",Journalist at Australia’s @ABCNews. Former foreign correspondent reporting from Afghanistan to Zimbabwe et al. Now on the road in the Sunshine State.,3403,19922,Refugees,
Sun Sep 01 19:53:56 +0000 2019,1168250657549082624,"@KellyLorenczPPC @MaximeBernier @wakeup_patriot @GtoPmd As Official Opposition Critic for Immigration, Refugees &amp; C… https://t.co/LS7vUQkRMT",3,1,1008103433822351360,HaveWeAllGoneMad,HaveWeAllGoneM1,,"Proud of my country, not my government Enough of the hypocrisy with the Liberal/Left in Canada! Time to take Canada back. A storm is brewing 🚫 PPC",16685,18572,,Change|ThangamMP|foeeurope
Sun Sep 01 21:56:48 +0000 2019,1168281576884658176,"For the Last Time, Here's the Real Link Between Immigration and Crime https://t.co/g6JjewVBQB 
Natural born citizen… https://t.co/1MZ8EXUuod",1,1,1009475893125926912,Nita GREAT DAY FOR AMERICA retired RRT,NitaWeitzel,South Carolina remove Graham,"Protect the environment
1st amendment rocks
BLM. WEAR A MASK. LOV
Putin'sGOP",4952,3241,,
Sun Sep 01 23:18:41 +0000 2019,1168302182786981888,@Nowivedoneit @realDonaldTrump Can't do the latter. He stole the FEMA $ for his useless border wall stunt. I live o… https://t.co/3o7Oz18lWe,3,1,241559936,Attila the Blond ⚖🌮🍷,attilatheblond,Up a tree watching the show,"“The totally convinced and the totally stupid have too much in common for the resemblance to be accidental.” ~Robert Anton Wilson
Marketers will be blocked",2100,1750,,
Sun Sep 01 20:05:58 +0000 2019,1168253687501926402,"""Our country is being inundated with 100,000 Latin Americans every month. That’s in addition to the thousands of re… https://t.co/ViFuZJPMlV",3,1,952911386874646530,Andrew Smith,AndrewSmithClub,,"Author of the forthcoming ""Cuckservatism Conserved: How Jared Kushner and the GOP Cuckstablishment Betrayed Conservatives and Sabotaged the MAGA Agenda.""",748,651,QueensSpeech,JamesMelville
